enfermedad,sintomas
Crisis de ausencia,
Daltonismo,"Puede ser que tengas una deficiencia en la visión de color y no lo sepas. Algunas personas descubren que ellos o sus hijos tienen la afección cuando causa confusión; como, por ejemplo, cuando tienen problemas para diferenciar los colores en un semáforo o interpretar materiales didácticos codificados por colores.
Las personas afectadas por el daltonismo pueden no ser capaces de distinguir:
Distintos tonos de rojo y verde
Distintos tonos de azul y amarillo
Cualquier color
La deficiencia cromática más común es una discapacidad de ver algunos tonos de rojo y verde. Con frecuencia, una persona que tiene una deficiencia con los tonos rojo y verde o azul y amarillo puede percibir ambos colores en cierta medida. Los defectos pueden ser leves, moderados o graves.
Cuándo debes consultar a un médico
Si sospechas que tienes problemas para distinguir ciertos colores o que tu visión de color cambia, consulta a un oftalmólogo para que lo examine. Es importante que los niños realicen exámenes oculares exhaustivos, incluida una prueba de visión cromática, antes de comenzar la escuela.
No hay cura para las deficiencias de color heredadas, pero si la causa es una enfermedad o una enfermedad ocular, el tratamiento puede mejorar la visión del color.
Solicite una consulta

Causas
Ver los colores a través del espectro de luz es un proceso complejo que comienza con la capacidad de los ojos para responder a las diferentes longitudes de onda de la luz.
La luz, que contiene todas las longitudes de onda de color, entra en el ojo a través de la córnea, y pasa por el cristalino y el tejido transparente y gelatinoso del ojo (humor vítreo) para llegar las células sensibles a las longitudes de onda (conos) que están en la parte posterior del ojo, en la zona macular de la retina. Los conos son sensibles a las longitudes de onda de luz cortas (azul), medias (verde) o largas (rojo). Las sustancias químicas en los conos desencadenan una reacción y envían la información de la longitud de onda a través del nervio óptico a tu cerebro.
Si tus ojos son normales, percibes el color. Pero si tus conos carecen de una o más sustancias químicas sensibles a la longitud de onda, no podrás distinguir los colores rojo, verde o azul.
El daltonismo tiene varias causas:
Trastorno heredado. Las deficiencias de color heredadas son mucho más comunes en los hombres que en las mujeres. La deficiencia de visión cromática más común es la del rojo-verde, y la del azul-amarillo es mucho menos común. Es raro no tener visión de color en absoluto.
Puedes heredar el trastorno en un grado leve, moderado o grave. Las deficiencias de color heredadas suelen afectar a ambos ojos, y la gravedad no cambia a lo largo de la vida.
Enfermedades. Algunas afecciones que pueden causar déficits para percibir el color son la anemia de células falciformes, la diabetes, la degeneración macular, la enfermedad de Alzheimer, la esclerosis múltiple, el glaucoma, la enfermedad de Parkinson, el alcoholismo crónico y la leucemia. Puede ser que un ojo se vea más afectado que el otro, y es posible que el déficit cromático mejore si se trata la enfermedad subyacente.
Ciertos medicamentos. Algunos medicamentos pueden alterar la visión de color, como algunos fármacos que tratan ciertas enfermedades autoinmunitarias, problemas cardíacos, presión arterial alta, disfunción eréctil, infecciones, trastornos nerviosos y problemas psicológicos.
Envejecer. La capacidad para percibir los colores se deteriora lentamente con la edad.
Sustancias químicas. La exposición a ciertas sustancias químicas en el lugar de trabajo, como el disulfuro de carbono y los fertilizantes, puede provocar pérdida de la visión de color.



Escrito por el personal de Mayo Clinic
"
Dedo del pie en martillo y dedo del pie en maza,"El dedo en martillo y el dedo en mazo tiene una torcedura anormal en las articulaciones de uno o más dedos. Otros síntomas pueden ser:
Dolor al usar zapatos.
Dificultad para mover el dedo del pie afectado.
Rigidez en los dedos del pie.
Enrojecimiento e hinchazón.
Crecimiento de callos y callosidades por el roce con los zapatos o contra el suelo.
Cuándo debes ver a un médico
Consulta al proveedor de atención médica si tienes un dolor de pie persistente que afecta la capacidad de caminar.
Solicite una consulta

Causas
El dedo en martillo y el dedo del pie en mazo se han asociado con lo siguiente:
Determinados tipos de calzado. Los zapatos de tacón alto o el calzado con horma muy angosta pueden apretar demasiado los dedos del pie e impedir que se apoyen en posición horizontal. Con el tiempo, el dedo del pie puede permanecer curvado incluso cuando no se usa calzado.
Traumatismo. Es más probable padecer dedo en martillo o en mazo si el dedo del pie sufrió golpes, atascos o fracturas.
Desequilibrio de los músculos del dedo del pie. Si los músculos están desequilibrados, pueden ejercer presión sobre los tendones y las articulaciones. Con el tiempo, este desequilibrio puede causar dedo en martillo o en mazo.
Factores de riesgo
Los factores que pueden aumentar el riesgo de dedo en martillo y dedo en mazo son los siguientes:
Sexo. Las mujeres son más propensas a tener dedo en martillo o dedo en mazo que los hombres.
Determinadas enfermedades. La artritis y la diabetes pueden aumentar el riesgo de tener problemas en los pies. Los genes también podrían influir.
Complicaciones
Durante un tiempo, es probable que siga pudiendo enderezar el dedo del pie. Pero, con el transcurso del tiempo, los tendones y las articulaciones de un dedo en martillo o dedo en mazo podrían tensarse. Esto puede hacer que el dedo del pie quede doblado.
Los zapatos pueden rozar la parte superior del dedo doblado. La posición doblada también puede derivar en un exceso de presión sobre el hueso de la punta del dedo en lugar de sobre la almohadilla de grasa del dedo del pie. Esto puede causar callos y callosidades dolorosas.
Prevención
Se pueden evitar muchos problemas en los pies, los talones y los tobillos si se usa buen calzado. A la hora de comprar calzado, ten en cuenta los siguientes aspectos:
Espacio suficiente para los dedos del pie. Evita comprar calzado que termine en punta.
Tacón bajo. Evitar el uso de zapatos de tacón alto te ayudará a prevenir problemas en la espalda y los dedos de los pies.
Calzado ajustable. Los zapatos con cordones o correas tienen más espacio y brindan más comodidad.
Estos otros consejos pueden ayudar para comprar el calzado adecuado:
Compra el calzado al final del día. Los pies se hinchan a medida que trascurre el día.
Comprueba la talla. La talla del calzado (especialmente el ancho) puede cambiar con la edad. Mídete ambos pies y ten en cuenta la medida más grande a la hora de comprar.
Compra calzado que calce bien desde un principio. Asegúrate de que el calzado te quede cómodo antes de comprarlo. Una tienda de reparación de calzado puede estirar las zonas donde más te ajusta, aunque siempre es mejor comprar calzado que te calce bien desde el principio.



Escrito por el personal de Mayo Clinic
"
Dedo en gatillo,"Los síntomas del dedo en gatillo pueden progresar de leves a graves, y comprenden los siguientes:
Rigidez en el dedo, especialmente por la mañana.
Sensación de chasquido o crujido al mover el dedo.
Sensibilidad o un bulto en la palma de la mano, en la base del dedo afectado.
El dedo se queda atascado o trabado en la posición de flexión, y se estira con un chasquido de manera repentina.
El dedo se traba en la posición de flexión.
El dedo en gatillo puede afectar cualquier dedo, incluido el pulgar. Es probable que tengas más de un dedo afectado al mismo tiempo, y que ambas manos se vean implicadas. Generalmente, el dedo en gatillo suele empeorar por la mañana.
Solicite una consulta

Causas
Dedo en gatillo
Agrandar la imagen
Los tendones son cuerdas resistentes que unen los músculos a los huesos. Cada tendón está rodeado por una vaina protectora. El dedo en gatillo se produce cuando la vaina tendinosa del dedo afectado se irrita y se inflama. Esto dificulta el deslizamiento del tendón dentro de la vaina.
En la mayoría de los casos, no existe una explicación de la aparición de la irritación y la inflamación.
El constante ida y vuelta de la irritación puede causar la formación de una pequeña protuberancia de tejido en el tendón. Este bulto se llama nódulo y puede dificultar aún más el deslizamiento suave del tendón dentro de la vaina.
Factores de riesgo
Los factores de riesgo para el desarrollo del dedo en gatillo comprenden los siguientes:
Agarre reiterado. Las ocupaciones y los pasatiempos que implican el uso repetitivo de las manos y la sujeción prolongada pueden aumentar el riesgo de tener dedo en gatillo.
Ciertos problemas de salud. Las personas que tienen diabetes o artritis reumatoide corren un mayor riesgo de desarrollar dedo en gatillo.
El sexo. El dedo en gatillo es más frecuente en las mujeres.
Complicaciones
El dedo en gatillo puede hacer que tipear en una máquina, abotonar una camisa o insertar una moneda en una ranura sean tareas difíciles. También puede afectar la capacidad de tomar el volante o sostener herramientas.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Defectos cardíacos congénitos en niños,
Deficiencia de MCAD,"La deficiencia de la acil-coenzima A deshidrogenasa de cadena media suele detectarse por primera vez en bebés y niños pequeños. En casos raros, el trastorno no se diagnostica hasta la edad adulta.
Los síntomas pueden variar entre las personas con deficiencia de la acil-coenzima A deshidrogenasa de cadena media. Por ejemplo:
Vómitos.
Energía baja o nula.
Sensación de debilidad.
Niveles bajos de glucosa en la sangre.
Un episodio repentino y grave, también conocido como crisis metabólica, se debe a lo siguiente:
Pasar demasiado tiempo sin comer.
Saltearse comidas.
Infecciones comunes.
Fiebre alta.
Problemas estomacales y digestivos permanentes que pueden causar vómitos y diarrea.
Actividad física intensa.
Cuándo debes consultar a un médico
En Estados Unidos y en muchos otros países se lleva a cabo un cribado neonatal para detectar la deficiencia de acil-coenzima A deshidrogenasa de cadena media. Después de esa primera evaluación, es posible que te remitan a un especialista en la evaluación y el tratamiento de la deficiencia de acil-coenzima A deshidrogenasa de cadena media. También es posible que te remitan a otros integrantes del equipo de atención médica, por ejemplo, a un dietista diplomado.
Comunícate con el equipo de atención médica si te diagnosticaron deficiencia de acil-coenzima A deshidrogenasa de cadena media y tienes fiebre alta, falta de apetito, síntomas estomacales o digestivos o un procedimiento médico programado para el cual debas hacer ayuno.
Solicite una consulta

Causas
Patrón hereditario autosómico recesivo
Agrandar la imagen
Cuando no tienes suficiente acil-coenzima A deshidrogenasa de cadena media en el cuerpo, ciertas grasas, llamadas ácidos grasos de cadena media, no pueden descomponerse y convertirse en energía. Esto puede derivar en niveles bajos de energía y de glucosa en la sangre. Además, los ácidos grasos pueden acumularse en los tejidos del cuerpo y causar daños.
La deficiencia de acil-coenzima A deshidrogenasa de cadena media se produce por una alteración en el gen ACADM. La afección se hereda de ambos padres en un patrón autosómico recesivo. Esto significa que ambos padres son portadores, es decir, cada uno tiene un gen alterado y un gen no alterado, pero no tienen síntomas de la afección. El hijo con deficiencia de acil-coenzima A deshidrogenasa de cadena media hereda dos copias del gen alterado, una de cada padre.
Si heredas solo un gen alterado, no tendrás deficiencia de acil-coenzima A deshidrogenasa de cadena media, pero eres portador y puedes transmitir el gen alterado a tus hijos. Sin embargo, ellos no desarrollarán la afección, a menos que también hereden un gen alterado del otro progenitor.
Factores de riesgo
Un niño corre riesgo de sufrir una deficiencia de acil-coenzima A deshidrogenasa de cadena media si ambos padres son portadores de un gen que se sabe que la causa. Luego, el niño hereda dos copias del gen: una de cada padre. Los niños que heredan solo una copia del gen afectado de uno de los padres normalmente no desarrollarán una deficiencia de acil-coenzima A deshidrogenasa de cadena media, pero serán portadores del gen.
Complicaciones
Si una crisis metabólica causada por la deficiencia de acil-CoA deshidrogenasa de cadena media no se trata, puede derivar en lo siguiente:
Convulsiones.
Problemas hepáticos
Daño cerebral
Estado de coma
Muerte súbita



Escrito por el personal de Mayo Clinic
"
Deficiencia selectiva de IgA,"En su mayoría, las personas con deficiencia selectiva de inmunoglobulina A no presentan síntomas. Algunas personas se enferman con más frecuencia de la normal. También pueden tener la misma enfermedad de manera recurrente. Enfermarse con frecuencia no implica necesariamente que una persona tenga deficiencia selectiva de inmunoglobulina A.
Las personas con deficiencia selectiva de inmunoglobulina A pueden tener episodios comunes o repetidos de los siguientes síntomas:
Infecciones de oído, particularmente en niños pequeños
Resfriados
Infecciones en los senos paranasales
Enfermedades pulmonares, como bronquitis o neumonía
Giardiasis, una enfermedad parasitaria del aparato digestivo que causa diarrea
Quizás los niños que se enferman con frecuencia no se alimenten bien o estén por debajo del peso típico de su edad.
Solicite una consulta

Causas
La deficiencia selectiva de inmunoglobulina A ocurre cuando las células del sistema inmunitario no producen anticuerpos de inmunoglobulina A o producen muy pocos. Se desconoce el motivo exacto por el cual las células no producen estos anticuerpos.
Determinados medicamentos utilizados para tratar las convulsiones, la epilepsia o la artritis reumatoide pueden causar deficiencia selectiva de inmunoglobulina A en algunas personas. La deficiencia puede continuar después de dejar de tomar el medicamento.
Factores de riesgo
Tener antecedentes familiares de deficiencia selectiva de inmunoglobulina A aumenta el riesgo de padecer la afección. Determinadas mutaciones de los genes parecen estar vinculadas con la deficiencia selectiva de inmunoglobulina A, pero se desconoce si un gen en particular es la causa directa de la afección.
Complicaciones
Las personas con deficiencia selectiva de inmunoglobulina A corren un mayor riesgo de padecer afecciones a largo plazo. Estas pueden incluir las siguientes:
Alergias y asma
Artritis reumatoide
Enfermedad celíaca
Enfermedad inflamatoria intestinal
Inmunodeficiencia común variable, que es la falta de dos o más tipos de inmunoglobulinas
Riesgo de reacción a hemoderivados
Las personas con deficiencia selectiva de inmunoglobulina A corren riesgo de tener reacciones a transfusiones de sangre o hemoderivados. Debido a que el cuerpo de una persona no produce inmunoglobulina A, el sistema inmunitario puede interpretarla como una sustancia extraña en una transfusión de sangre u otro tratamiento con hemoderivados.
Una reacción como esta puede causar fiebre alta, escalofríos, sudoración y otros síntomas. Con poca frecuencia, las personas con deficiencia selectiva de inmunoglobulina A tienen anafilaxia, que es una reacción alérgica que pone en riesgo la vida.
Los profesionales de atención médica recomiendan usar un brazalete médico. Este brazalete puede indicar que tienes deficiencia selectiva de inmunoglobulina A y debes recibir sangre o hemoderivados modificados.



Escrito por el personal de Mayo Clinic
"
Degeneración corticobasal (síndrome corticobasal),
Degeneración macular húmeda,"Los síntomas de la degeneración macular húmeda suelen aparecer repentinamente y empeoran rápidamente. Estos son algunos síntomas posibles:
Distorsiones visuales, como líneas rectas que parecen dobladas
Reducción de la visión central en uno o ambos ojos
Necesidad de luz más brillante para leer o hacer trabajos minuciosos
Dificultad para adaptarse a los niveles bajos de luz, como al ingresar a un teatro o un restaurante poco iluminado
Mayor visión borrosa de las palabras impresas
Dificultad para reconocer rostros.
Un punto borroso o un punto ciego bien definido en el campo de visión
La degeneración macular no afecta la visión lateral, por lo que no causa la pérdida total de la visión.
Cuándo debes consultar con un médico
Consulta al oftalmólogo si ocurre lo siguiente:
Notas cambios en la visión central.
Pierdes la capacidad para ver detalles precisos.
Estos cambios pueden ser el primer indicador de la degeneración macular, especialmente si tienes más de 60 años.
Más información
Degeneración macular húmeda - atención en Mayo Clinic
¿Cuáles son los síntomas de la degeneración macular húmeda relacionada con la edad?
Solicite una consulta

Causas
Partes del ojo
Agrandar la imagen
Se desconoce la causa exacta de la degeneración macular húmeda, pero se desarrolla en personas que tienen degeneración macular seca. De todas las personas con degeneración macular relacionada con la edad, alrededor del 20 % tiene la forma húmeda.
La degeneración macular húmeda puede desarrollarse de diferentes maneras:
Pérdida de la visión producida por un desarrollo irregular de los vasos sanguíneos. A veces crecen vasos sanguíneos irregulares nuevos desde la coroides hacia abajo y hacia el interior de la mácula (neovascularización coroidea). La coroides es una capa de vasos sanguíneos entre la retina y la capa exterior y firme del ojo, que se llama esclerótica. Estos vasos sanguíneos pueden liberar líquido o sangre, lo que interfiere con la función de la retina.
Pérdida de la visión por acumulación de líquido en la parte posterior del ojo. Cuando se filtra líquido de la coroides, puede acumularse entre la capa de células delgadas llamada epitelio pigmentario de la retina y la retina o dentro de las capas de la retina. Esto puede causar irregularidades en las capas de la mácula, lo que lleva a una pérdida o distorsión de la visión.
Factores de riesgo
Los factores que pueden aumentar el riesgo de tener degeneración macular incluyen:
Edad. Esta enfermedad es más común en personas mayores de 55 años.
Antecedentes familiares y genética. Esta enfermedad tiene un componente genético. Los investigadores han identificado diversos genes asociados con la afección.
Raza. La degeneración macular es más común en personas de piel blanca.
Fumar. Fumar cigarrillos o estar expuesto de manera regular al humo del tabaco aumenta significativamente el riesgo de tener degeneración macular.
Obesidad. Las investigaciones indican que ser obeso puede aumentar tus posibilidades de que la degeneración macular temprana o intermedia avance a una forma más grave de la enfermedad.
Enfermedad cardiovascular. Si tienes enfermedades que afectan el corazón o los vasos sanguíneos, es posible que corras un mayor riesgo de tener degeneración macular.
Complicaciones
Las personas en quienes la degeneración macular húmeda haya avanzado hasta causar la pérdida de la visión central tienen un riesgo mayor de sufrir depresión o aislamiento social. Las personas con pérdida profunda de la visión pueden tener alucinaciones visuales. Esta afección se llama síndrome de Charles Bonnet.
Prevención
Es importante que te hagan exámenes oculares de rutina para identificar los primeros signos de la degeneración macular. Las siguientes medidas te ayudan a reducir el riesgo de desarrollar una degeneración macular húmeda:
Controla todas las demás enfermedades. Por ejemplo, si tienes una enfermedad cardiovascular o presión arterial alta, toma tus medicamentos y sigue las instrucciones del proveedor de atención médica para controlar la afección.
No fumes. Los fumadores tienen más probabilidades de desarrollar degeneración macular que los no fumadores. Pide ayuda al proveedor de atención médica para dejar de fumar.
Mantén un peso saludable y haz ejercicio de forma regular. Si necesitas bajar de peso, reduce la cantidad de calorías que comes y aumenta la cantidad de actividad física que haces por día.
Elige una dieta rica en frutas y verduras. Estos alimentos contienen vitaminas antioxidantes que reducen el riesgo de desarrollar degeneración macular.
Agrega pescado a tu dieta. Los ácidos grasos omega 3, que se encuentran en el pescado, reducen el riesgo de tener degeneración macular. Los frutos secos, como las nueces, también contienen ácidos grasos omega-3.
Más información
Degeneración macular húmeda - atención en Mayo Clinic
¿Cómo puedo reducir el riesgo de degeneración macular húmeda relacionada con la edad?



Escrito por el personal de Mayo Clinic
"
Degeneración macular seca,"Los síntomas de la degeneración macular seca, por lo general, se desarrollan progresivamente y sin dolor. Es posible que incluyan lo siguiente:
Distorsiones visuales, como líneas rectas que parecen dobladas.
Reducción de la visión central en uno o ambos ojos.
Necesidad de luz más brillante para leer o hacer tareas que requieren visión de cerca.
Mayor dificultad para adaptarse a los niveles bajos de luz, como al entrar a un restaurante o teatro poco iluminado.
Mayor visión borrosa de las palabras impresas.
Dificultad para reconocer rostros.
Un punto borroso o un punto ciego bien definido en el campo de visión.
La degeneración macular seca puede afectar un ojo o ambos. Si solo se ve afectado un ojo, tal vez no notes ningún cambio en la visión. Esto sucede porque el ojo sano puede compensar la debilidad del otro. Además, como esta afección no afecta la visión lateral, tampoco causa ceguera total.
La degeneración macular seca es uno de los dos tipos de degeneración macular relacionada con la edad. Puede progresar a degeneración macular húmeda, que ocurre cuando crecen vasos sanguíneos debajo de la retina y dejan escapar líquido. La degeneración seca es más frecuente, pero suele progresar lentamente con los años. Es más probable que la de tipo húmedo cause un cambio relativamente repentino en la visión, lo cual lleva a una pérdida grave de la vista.
Cuándo debes consultar con un médico
Consulta al oftalmólogo en los siguientes casos:
Notas cambios, como distorsión o puntos ciegos, en tu visión central.
Pierdes la capacidad para ver detalles precisos.
Estos cambios pueden ser el primer signo de degeneración macular, especialmente si tienes más de 60 años.
Solicite una consulta

Causas
Partes del ojo
Agrandar la imagen
Nadie sabe exactamente qué causa la degeneración macular seca. Según las investigaciones, puede ser una combinación de factores genéticos familiares y factores ambientales, entre ellos, fumar, la obesidad y la alimentación.
La afección se presenta a medida que los ojos envejecen. La degeneración macular seca afecta la mácula, el área de la retina responsable de que la visión sea clara en la línea de visión directa. Con el tiempo, el tejido de la mácula puede afinarse y perder las células que posibilitan la visión.
Factores de riesgo
Estos son algunos factores que pueden aumentar el riesgo de sufrir degeneración macular:
Edad. Esta enfermedad es más frecuente en personas mayores de 60 años.
Antecedentes familiares y genética. Esta enfermedad tiene un componente hereditario. Los investigadores han identificado diversos genes asociados a la afección.
Raza. La degeneración macular es más común en personas de piel blanca.
Fumar. Fumar cigarrillos o estar expuesto de manera regular al humo del tabaco aumenta significativamente el riesgo de tener degeneración macular.
Obesidad. Según las investigaciones, ser obeso puede aumentar las posibilidades de que la degeneración macular temprana o intermedia avance a un cuadro más grave de la enfermedad.
Enfermedad cardiovascular. Si tienes enfermedades del corazón o los vasos sanguíneos, es posible que tengas más riesgo de padecer degeneración macular.
Complicaciones
Las personas cuya degeneración macular seca ha progresado hasta una pérdida de la visión central corren más riesgo de depresión o aislamiento social. Las personas que tienen una pérdida profunda de la visión pueden tener alucinaciones visuales. Esta afección se denomina síndrome de Charles Bonnet. La degeneración macular seca puede progresar a una degeneración macular húmeda, que rápidamente puede causar la pérdida de la visión si no se trata.
Prevención
Es importante hacerse exámenes oculares de rutina para identificar los primeros signos de degeneración macular. Las siguientes medidas pueden ayudarte a reducir el riesgo de desarrollar degeneración macular seca:
Ten bajo control todas las enfermedades. Por ejemplo, si tienes una enfermedad cardiovascular o presión arterial alta, toma los medicamentos y sigue las instrucciones del proveedor de atención médica para controlar la afección.
No fumes. Los fumadores tienen más probabilidades de desarrollar degeneración macular que los no fumadores. Pídele ayuda al proveedor de atención médica para dejar de fumar.
Mantén un peso saludable y haz ejercicio de forma regular. Si necesitas bajar de peso, reduce la cantidad de calorías que comes y aumenta la cantidad de actividad física que haces al día.
Elige una dieta rica en frutas y verduras. Estos alimentos contienen vitaminas antioxidantes que reducen el riesgo de desarrollar degeneración macular.
Agrega pescado a tu dieta. Los ácidos grasos omega-3, que se encuentran en el pescado, pueden reducir el riesgo de degeneración macular. Los frutos secos, como las nueces, también contienen ácidos grasos omega-3.



Escrito por el personal de Mayo Clinic
"
Delirio,"Los síntomas del delirio suelen comenzar después de unas horas o algunos días. Por lo general, ocurren cuando hay un problema médico, y suelen aparecer y desaparecer a lo largo del día. Puede haber períodos de ausencia de síntomas. Los síntomas tienden a empeorar durante la noche cuando está oscuro y las cosas parecen menos familiares. Asimismo, tienden a empeorar en entornos desconocidos, como en un hospital.
Los síntomas principales incluyen los siguientes.
Reducción de la consciencia del entorno
Esto puede ocasionar lo siguiente:
Problemas para concentrarse en un tema o cambiar de tema
Quedarse pensando en una idea en lugar de responder preguntas
Tendencia a la distracción
Aislamiento, con poca o ninguna actividad o respuesta al entorno
Poca capacidad de reflexión
Esto puede presentarse como:
Falta de memoria, como olvidar acontecimientos recientes
No saber dónde están ni quiénes son
Problemas para hablar o recordar palabras
Habla incoherente o sin sentido
Problemas para comprender el habla
Problemas para leer o escribir
Cambios conductuales y emocionales
Estas pueden incluir las siguientes:
Ansiedad, miedo o desconfianza hacia otras personas
Depresión
Mal genio o ira
Sensación de euforia
Falta de interés y emoción
Cambios repentinos en el estado de ánimo
Cambios en la personalidad
Ver cosas que otras personas no ven
Intranquilidad, ansiedad o combatividad
Gritar, emitir quejidos u otros sonidos
Quietud y taciturnidad, especialmente en adultos mayores
Movimientos lentos o pereza
Cambios en los hábitos de sueño
Inversión del ciclo del sueño, de tal forma que se duerme durante el día y se está despierto durante la noche
Tipos de delirio
Los expertos han identificado los siguientes tres tipos:
Delirio hiperactivo. Es posible que este sea el tipo más fácil de reconocer. Las personas con este tipo de delirio quizás estén inquietas y se paseen por la habitación. Asimismo, probablemente estén ansiosas, tengan cambios repentinos del estado de ánimo o vean cosas que no estén allí. Las personas con este tipo de delirio suelen resistirse a recibir atención médica.
Delirio hipoactivo. Es posible que las personas con este tipo de delirio sean inactivas o poco activas. Tienden a ser perezosas o a estar somnolientas. Quizás parezca que están aturdidas. No interactúan con la familia ni con otras personas.
Delirio mixto. Los síntomas incluyen ambos tipos de delirio. Es posible que la persona pase rápidamente de estar inquieta a estar perezosa.
Delirio y demencia
El delirio y la demencia pueden ser difíciles de diferenciar, y es posible que una persona tenga ambas. Una persona con demencia tiene un deterioro gradual de la memoria y de otras habilidades del pensamiento debido al daño o la pérdida de neuronas cerebrales. La causa más común de demencia es la enfermedad de Alzheimer, que evoluciona lentamente durante meses o años.
El delirio se produce con frecuencia en las personas con demencia. Sin embargo, presentar eventos de delirio no siempre significa que una persona tenga demencia. No se debe hacer pruebas para demencia durante un evento de delirio, ya que los resultados podrían ser engañosos.
Algunas diferencias entre los síntomas del delirio y la demencia incluyen las siguientes:
Aparición. La aparición del delirio se produce en poco tiempo, entre uno y dos días. La demencia generalmente comienza con síntomas leves que empeoran con el tiempo.
Atención. La capacidad de mantener la concentración o la atención se ve afectada por el delirio. Una persona en las primeras etapas de la demencia permanece generalmente alerta. Alguien con demencia no suele tener una conducta perezosa ni agitada.
Cambios rápidos en los síntomas. Los síntomas del delirio pueden aparecer y desaparecer varias veces por día. Mientras que las personas con demencia tienen mejores y peores momentos durante el día, su memoria y habilidades de pensamiento permanecen, en general, en un nivel constante.
Cuándo debes consultar con un médico
Si un familiar, un amigo o alguien a tu cuidado muestra síntomas de delirio, habla con el proveedor de atención médica de esa persona. Tu aporte sobre los síntomas, el pensamiento típico y las habilidades cotidianas será importante para obtener un diagnóstico. También puede ayudar al proveedor de atención médica a encontrar la causa del trastorno.
Si observas síntomas en una persona en el hospital o en el asilo de ancianos y convalecientes, informa tus inquietudes al personal de enfermería o al proveedor de atención médica. Es posible que no se hayan observado los síntomas. Las personas mayores en un hospital o que viven en un centro de cuidado a largo plazo corren riesgo de presentar delirio.
Solicite una consulta

Causas
El delirio se produce cuando las señales del cerebro no se envían ni se reciben correctamente.
Este trastorno puede tener una causa única o más de una causa. Por ejemplo, la combinación de una enfermedad con los efectos secundarios de un medicamento podría causar delirio. En ocasiones, no se puede encontrar la causa. Algunas de las causas posibles son las siguientes:
Ciertos medicamentos o los efectos secundarios de estos
Consumo de alcohol, de drogas ilícitas, o la abstinencia de estos
Una enfermedad, como un accidente cerebrovascular, un ataque cardíaco, el empeoramiento de la enfermedad pulmonar, el empeoramiento de la enfermedad hepática o una lesión por una caída
Desequilibrios en el cuerpo, como niveles bajos de sodio o de calcio
Una enfermedad grave y de larga duración, o una enfermedad que derive en la muerte
Fiebre y una infección nueva, particularmente en niños
Infección de las vías urinarias, neumonía, gripe o COVID-19, especialmente en adultos mayores
Exposición a una toxina, como el monóxido de carbono, el cianuro u otros venenos
Mala alimentación o pérdida de demasiado líquido corporal
Falta de sueño o sufrimiento emocional intenso
Dolor
Una cirugía u otro procedimiento médico que requiera que se ponga a la persona en un estado similar al sueño
Algunos medicamentos que se toman solos o combinados pueden desencadenar el delirio. Estos incluyen medicamentos que sutilizan para tratar lo siguiente:
Dolor
Problemas de sueño
Trastornos del estado de ánimo, como la ansiedad y la depresión
Alergias
Asma
Hinchazón
Enfermedad de Parkinson
Espasmos o convulsiones
Factores de riesgo
Cualquier afección que implique una hospitalización aumenta el riesgo de delirio. Esto ocurre sobre todo cuando una persona se está recuperando de una cirugía o se encuentra en cuidados intensivos. El delirio es más común en adultos mayores y en personas que viven en asilos de ancianos y convalecientes.
Algunos ejemplos de otras afecciones que pueden aumentar el riesgo de tener delirio incluyen los siguientes:
Trastornos cerebrales como demencia, accidente cerebrovascular o enfermedad de Parkinson
Episodios anteriores de delirio
Pérdida auditiva o de la visión
Múltiples problemas médicos
Complicaciones
El delirio puede durar solamente algunas horas o varias semanas o meses. Si se abordan las causas, el tiempo de recuperación suele ser más corto.
La recuperación depende, en cierta medida, de la salud y el estado mental antes del comienzo de los síntomas. Las personas con demencia, por ejemplo, pueden presentar un deterioro general en la memoria y en las capacidades de reflexión luego de un episodio de delirio. Las personas con un mejor estado de salud son más propensas a recuperarse por completo.
Es posible que las personas con otras enfermedades graves, de larga duración o terminales no recuperen las capacidades de reflexión o el funcionamiento que tenían antes del comienzo del delirio. Es más probable que el delirio en personas con enfermedades graves derive en lo siguiente:
Deterioro general en la salud
Mala recuperación de la cirugía
Necesidad de cuidado a largo plazo
Mayor riesgo de muerte
Prevención
La mejor forma de prevenir el delirio es centrarse en los factores de riesgo que puedan desencadenar un episodio. Los entornos del hospital presentan un desafío especial. Las hospitalizaciones a menudo implican cambios de habitación, procedimientos invasivos, ruidos fuertes y poca iluminación. La falta de luz natural y de sueño pueden empeorar la confusión.
Algunas medidas pueden ayudar a prevenir o reducir la gravedad del delirio. Para lograr esto, hay que promover buenos hábitos de sueño, ayudar a que la persona esté tranquila y orientada, así como intentar evitar los problemas médicos u otras complicaciones. Evita también los medicamentos para dormir, como difenhidramina (Benadryl Allergy, Unisom y otros).



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Demencia,
